recruit_no,title,company,company_desc,skills,career,location,badges,deadline_text,deadline_date,detail_url
49614174,[숏폼 드라마] AI 영상 크리에이터,슈퍼센트㈜,"하이퍼 캐주얼 게임 개발 및 퍼블리싱으로 전 세계 시장에서 빠르게 성장하고 있는 글로벌 앱 퍼블리셔, 누적 9억 다운로드 달성",애프터이펙트;프리미어,경력3년↑,서울 송파구,합격축하금,~08/19(수),2026-08-19 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49614174?sc=322
49614158,AI Native Game PD(3년 이상),슈퍼센트㈜,"하이퍼 캐주얼 게임 개발 및 퍼블리싱으로 전 세계 시장에서 빠르게 성장하고 있는 글로벌 앱 퍼블리셔, 누적 9억 다운로드 달성",AI Agent,경력3년↑,서울 송파구,합격축하금,~08/19(수),2026-08-19 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49614158?sc=322
49614145,Live-Ops PD(7년 이상),슈퍼센트㈜,"하이퍼 캐주얼 게임 개발 및 퍼블리싱으로 전 세계 시장에서 빠르게 성장하고 있는 글로벌 앱 퍼블리셔, 누적 9억 다운로드 달성",Google Analytics;Unity;Firebase,경력7년↑,서울 송파구,합격축하금,~08/19(수),2026-08-19 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49614145?sc=322
49614380,[AD-Tech] 머신러닝 엔지니어(2-6년),슈퍼센트㈜,"하이퍼 캐주얼 게임 개발 및 퍼블리싱으로 전 세계 시장에서 빠르게 성장하고 있는 글로벌 앱 퍼블리셔, 누적 9억 다운로드 달성",MLOps;CI/CD,경력2년↑,서울 송파구,합격축하금,~08/19(수),2026-08-19 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49614380?sc=322
49612538,아이스트로 연구소 냉동사이클 경력자,㈜아이스트로,"냉동 및 냉장기기 시장에서 최고 시장점유율을 기록한 고용노동부 인증 강소기업, 고객 맞춤형 기술 경영 및 온라인 시스템 구축으로 혁신적 대응력을 보유",,경력10년↑,인천 전지역 외 5,합격축하금,~08/19(수),2026-08-19 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49612538?sc=322
49612176,"(설비,현장EPM)머신비전/장비제조업 PM",㈜아이벡스,"제조업 검사용 딥러닝 알고리즘 및 검사 솔루션을 전문 연구 및 개발하는 산업용 AI 스타트업, End-to-End 딥러닝 컴퓨터 비전 솔루션 공급",비즈니스영어,경력5년↑,서울 서초구,합격축하금,~08/19(수),2026-08-19 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49612176?sc=322
49612190,"(설비,현장EPM) Junior PM",㈜아이벡스,"제조업 검사용 딥러닝 알고리즘 및 검사 솔루션을 전문 연구 및 개발하는 산업용 AI 스타트업, End-to-End 딥러닝 컴퓨터 비전 솔루션 공급",SQL;Excel;운전면허,경력2년↑,서울 서초구,합격축하금,~08/19(수),2026-08-19 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49612190?sc=322
49612204,인더스트리얼AI 비전프로젝트 매니저 DL-PM,㈜아이벡스,"제조업 검사용 딥러닝 알고리즘 및 검사 솔루션을 전문 연구 및 개발하는 산업용 AI 스타트업, End-to-End 딥러닝 컴퓨터 비전 솔루션 공급",,경력,서울 서초구,합격축하금,~08/19(수),2026-08-19 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49612204?sc=322
49612214,"프론트엔드엔지니어-MLOps,Vision AI",㈜아이벡스,"제조업 검사용 딥러닝 알고리즘 및 검사 솔루션을 전문 연구 및 개발하는 산업용 AI 스타트업, End-to-End 딥러닝 컴퓨터 비전 솔루션 공급",CSS;Docker;kubernetes;React;TypeScript,경력5년↑,서울 서초구,합격축하금,~08/19(수),2026-08-19 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49612214?sc=322
49612218,[전문연가능]로봇 제어 플랫폼개발 엔지니어,㈜아이벡스,"제조업 검사용 딥러닝 알고리즘 및 검사 솔루션을 전문 연구 및 개발하는 산업용 AI 스타트업, End-to-End 딥러닝 컴퓨터 비전 솔루션 공급",C++;Docker;Git;Python;Ubuntu,경력3년↑,서울 서초구,합격축하금,~08/19(수),2026-08-19 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49612218?sc=322
